title,year,runtime,rating,metascore,votes,gross
Spider-Man: No Way Home,2021,148,8.8,71,371148,0.0
Harry Potter and the Sorcerer's Stone,2001,152,7.6,65,728527,317.58
Dune,2021,155,8.1,74,436913,0.0
The Matrix,1999,136,8.7,73,1817710,171.48
Harry Potter and the Goblet of Fire,2005,157,7.7,81,590566,290.01
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,822632,381.01
Ghostbusters,1984,105,7.8,71,391792,238.63
Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,597145,249.36
Avengers: Endgame,2019,181,8.4,78,991111,858.37
The Gentlemen,2019,113,7.8,51,294990,0.0
The Shawshank Redemption,1994,142,9.3,80,2522734,28.34
Harry Potter and the Half-Blood Prince,2009,153,7.6,78,513691,301.96
Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,516922,295.98
Kingsman: The Secret Service,2014,129,7.7,60,630430,128.26
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1762658,315.54
Spider-Man: Into the Spider-Verse,2018,117,8.4,87,459234,190.24
Little Women,2019,135,7.8,91,179810,108.1
Avengers: Infinity War,2018,149,8.4,68,965351,678.82
Interstellar,2014,169,8.6,74,1669058,188.02
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
White Heat,1949,114,8.1,0,31948,0.0
